h3_polyfill,index
85318567fffffff,0
8531ae2ffffffff,0
8531ae2bfffffff,0
85318527fffffff,0
8531aa0bfffffff,0
8531aaa7fffffff,0
8531aadbfffffff,0
8531857bfffffff,0
8531aa97fffffff,0
8531aa83fffffff,0
8531ae23fffffff,0
8531aacbfffffff,0
8531aa07fffffff,0
8531aa8bfffffff,0
85318573fffffff,0
8531aa67fffffff,0
85318187fffffff,0
8531853bfffffff,0
85318537fffffff,0
8531ae6ffffffff,0
8531852ffffffff,0
85318197fffffff,0
853181b3fffffff,0
853181b7fffffff,0
85318193fffffff,0
8531aa1bfffffff,0
8531ae07fffffff,0
8531aa57fffffff,0
8531ae67fffffff,0
8531aaabfffffff,0
8531ae7bfffffff,0
8531a85bfffffff,0
8531aad3fffffff,0
8531aaaffffffff,0
8531aa4bfffffff,0
8531a84ffffffff,0
85318523fffffff,0
8531ae77fffffff,0
8531aa33fffffff,0
8531abdbfffffff,0
8531ae33fffffff,0
8531aa6ffffffff,0
8531aa73fffffff,0
853185a3fffffff,0
8531aab3fffffff,0
8531a87bfffffff,0
8531aa53fffffff,0
8531aab7fffffff,0
8531aa7bfffffff,0
8531aa77fffffff,0
8531aad7fffffff,0
853185a7fffffff,0
8531819bfffffff,0
853181a3fffffff,0
8531aa43fffffff,0
8531aa47fffffff,0
8531aa9bfffffff,0
8531aa0ffffffff,0
8531aa93fffffff,0
8531ae3bfffffff,0
8531aac7fffffff,0
85318507fffffff,0
8531aa6bfffffff,0
8531856ffffffff,0
8531aac3fffffff,0
8531aabbfffffff,0
853185b3fffffff,0
85318183fffffff,0
8531aa8ffffffff,0
8531aacffffffff,0
8531ae63fffffff,0
8531aa4ffffffff,0
8531850ffffffff,0
853185affffffff,0
8531aa5bfffffff,0
8531a84bfffffff,0
853185b7fffffff,0
85318577fffffff,0
8531aa37fffffff,0
8531aa17fffffff,0
8531aa13fffffff,0
85318563fffffff,0
8531aa63fffffff,0
8531ae27fffffff,0
8531aa87fffffff,0
8531aa03fffffff,0
8531852bfffffff,0
8531ae73fffffff,0
8531ae6bfffffff,0
8531850bfffffff,0
8531aaa3fffffff,0
85318533fffffff,0
